DATE 	PRODUCT NAME 	QUANTITY	SELL PRICE 
			
			
8/21/2025	 Metronidazole Tabs 	20	2000
	Ampiclox Caps 	10	2000
	Kiss Condom 	1	1500
	P2 T	1	4000
	Dexaneomycin 	1	4000
	Mg T	10	1000
	Ascorbic Acid T	10	2000
	Metronidazole Tabs 	10	1000
	Vivian Tabs 	10	2000
	Diclofenac Tabs 	10	1000
	Cold Syrup 	1	4000
	CTX Syrup 	1	
	Pcm Tabs 	10	1000
	Dawa 3	5	1000
			30
			
8/23/2025	Ibuprofen Tabs 	30	3000
	Skderm cream 	1 (Mama Mona) 	5000
	Amoxicillin C. 	20 (Ma Mori dukani) 	2000
	Diclopar Tabs 	10	1000
	Nor 5	1	3000
	Mifupain Tabs	15	3000
	Pcm Tabs 	10	1000
	Ibuprofen Tabs 	20	2000
	Vivian Tabs 	10	2000
	Amoxicillin C 	20	2000
	Mifupain 	10	2000
	Vitamin B 	10	1000
			26
			
8/25/2025	CTX Syrup 	1	4000
	Pcm T 	10	1000
	Cold Syrup 	1	4000
	Metronidazole Tabs 	30	3000
	Ibuprofen 	15	1500
	Amoxicillin C 	30	3000
	Vitamin B 	10	1000
	Diclopar T 	15	1500
	Diclopar Tabs 	10	1000
	Kiss Condom 	1	1000
			21
8/26/2025	Meloxicam Tabs 	14	7000
	Diclopar Tabs 	10	1000
	Mebendazole T	10	2000
	Fefo T	60	6000
	Crip water	1	4000
	Ibuprofen Tabs 	20	2000
	Ps	1	5000
	Azuma T 	1	5000
	Hydrocortisone cream 	1	4000
	Pednisolone T 	10 Ngoje	2000
	Amoxicillin C	30 kilindima	3000
	Metronidazole Tabs	30 kilindima	3000
	Pcm Tabs 	20 kilindima	2000
	Cold Syrup 	1	4000
	Dp	1	3000
	Diclofenac T 5 	10	1000
	Amoxicillin C 	10	1000
			55
			
8/27/2025	Activa Gel 	1	4000
	Diclopar Tabs 	10	1000
	Spirit 	1	1500
	Cetirizen T 	10	1000
	Diclopar Tabs 	10	1000
	Azithromicin T 	1	5000
	Metronidazole Tabs 	30	3000
	Ps	1	5000
	Ampiclox T 	20	2000
	Cetirizen T 	20	2000
	Diclofenac Gel 	1	3000
	Ampiclox Caps 	10	2000
			30
			
8/28/2025	Albendazole T	1	2000
	Diclopar Tabs 	10	1000
	Mg Tabs 	10	1000
	Ampiclox 	10	2000
	CTX Tabs 	10	2000
	Cetirizen T 	10	1000
	Ibuprofen T 	10	1000
	Omeprazole C 	10	2000
			12
8/29/2025	Cold Syrup 	1	4000
	Ps	1	5000
	Azithromicin T 	1	5000
	Pednisolone T 	10	2000
	Neuroton T	5	5000
	Fluconazole C	5	5000
	Omeprazole C 	10	2000
	Amoxicillin C 	10	1000
	Bisacodyle	10	2000
	UPT 	2	2000
	Diclopar Tabs 	20	2000
	P2	1	5000
			40
8/30/2025	Pcm Syrup 	1	3000
	Cold Syrup 	1 Montana 	4000
	Ps 	1	5000
	Doxcycline Caps 	10 Imma	2000
	Ps	1	5000
	Ts	1	3000
	Doxcycline Caps 	10	2000
	Metronidazole T 	30	3000
	Cipro T 	10	2000
	Dexaneomycin 	1 Ma melina	3000
	CVP	1	5000
